etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-08,2021-09-08,QQQ,AAPL,APPLE INC,0.114741,22383901143.720000,037833100,US0378331005,BBG000B9XRY4,2046251,144309852.000000
2021-09-08,2021-09-08,QQQ,ADBE,ADOBE SYSTEMS INC,0.021385,4171789096.880000,00724F101,US00724F1012,BBG000BB5006,2008154,6290204.000000
2021-09-08,2021-09-08,QQQ,ADI,ANALOG DEVICES INC,0.004072,794385274.930000,032654105,US0326541051,BBG000BB6G37,2032067,4853579.000000
2021-09-08,2021-09-08,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005861,1143431785.600000,053015103,US0530151036,BBG000JG0547,2065308,5599568.000000
2021-09-08,2021-09-08,QQQ,ADSK,AUTODESK INC,0.004298,838548386.400000,052769106,US0527691069,BBG000BM7HL0,2065159,2895940.000000
2021-09-08,2021-09-08,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003057,596350944.440000,025537101,US0255371017,BBG000BB9KF2,2026242,6576433.000000
2021-09-08,2021-09-08,QQQ,ALGN,Align Technology Inc.,0.003897,760161315.520000,016255101,US0162551016,BBG000BRNLL2,2679204,1041431.000000
2021-09-08,2021-09-08,QQQ,AMAT,APPLIED MATERIALS INC,0.008234,1606387557.600000,038222105,US0382221051,BBG000BBPFB9,2046552,12027460.000000
2021-09-08,2021-09-08,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.008702,1697538115.560000,007903107,US0079031078,BBG000BBQCY0,2007849,15988868.000000
2021-09-08,2021-09-08,QQQ,AMGN,AMGEN INC,0.008560,1669953012.520000,031162100,US0311621009,BBG000BBS2Y0,2023607,7560796.000000
2021-09-08,2021-09-08,QQQ,AMZN,AMAZON.COM INC,0.078817,15375731420.500000,023135106,US0231351067,BBG000BVPV84,2000019,4361291.000000
2021-09-08,2021-09-08,QQQ,ANSS,ANSYS INC,0.002190,427243853.630000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1146871.000000
2021-09-08,2021-09-08,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004598,897054284.700000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1045530.000000
2021-09-08,2021-09-08,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004208,820971994.360000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10225084.000000
2021-09-08,2021-09-08,QQQ,AVGO,Broadcom Inc.,0.013616,2656288414.220000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5372969.000000
2021-09-08,2021-09-08,QQQ,BIDU,BAIDU INC - SPON ADR,0.002843,554685115.600000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3409670.000000
2021-09-08,2021-09-08,QQQ,BIIB,BIOGEN INC,0.003266,637044248.850000,09062X103,US09062X1037,BBG000C17X76,2455965,1981167.000000
2021-09-08,2021-09-08,QQQ,BKNG,BOOKING HOLDINGS INC,0.006414,1251217462.950000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,540261.000000
2021-09-08,2021-09-08,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003108,606240323.360000,127387108,US1273871087,BBG000C13CD9,2302232,3661756.000000
2021-09-08,2021-09-08,QQQ,CDW,CDW CORP/DE,0.001895,369717345.710000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1844989.000000
2021-09-08,2021-09-08,QQQ,CERN,CERNER CORP,0.001538,300043354.520000,156782104,US1567821046,BBG000BFDLV8,2185284,3965156.000000
2021-09-08,2021-09-08,QQQ,CHKP,Check Point Software Technologies Ltd.,0.001130,220534679.640000,M22465104,IL0010824113,BBG000K82ZT8,2181334,1780372.000000
2021-09-08,2021-09-08,QQQ,CHTR,CHARTER COMMUNICATIONS INC-A,0.010178,1985635433.840000,16119P108,US16119P1084,BBG000VPGNR2,BZ6VT82,2482696.000000
2021-09-08,2021-09-08,QQQ,CMCSA,COMCAST CORP-CLASS A,0.018600,3628471063.460000,20030N101,US20030N1019,BBG000BFT2L4,2044545,60333739.000000
2021-09-08,2021-09-08,QQQ,COST,COSTCO WHOLESALE CORP,0.013902,2711975542.300000,22160K105,US22160K1051,BBG000F6H8W8,2701271,5823439.000000
2021-09-08,2021-09-08,QQQ,CPRT,COPART INC,0.002309,450394022.170000,217204106,US2172041061,BBG000BM9RH1,2208073,3113251.000000
2021-09-08,2021-09-08,QQQ,CRWD,Crowdstrike Holdings Inc. Class A,0.003563,695102052.960000,22788C105,US22788C1053,BBG00BLYKS03,BJJP138,2620752.000000
2021-09-08,2021-09-08,QQQ,CSCO,CISCO SYSTEMS INC,0.016681,3254181023.880000,17275R102,US17275R1023,BBG000C3J3C9,2198163,55456391.000000
2021-09-08,2021-09-08,QQQ,CSX,CSX CORP,0.004857,947555559.750000,126408103,US1264081035,BBG000BGJRC8,2160753,29900775.000000
2021-09-08,2021-09-08,QQQ,CTAS,CINTAS CORP,0.002823,550628640.100000,172908105,US1729081059,BBG000H3YXF8,2197137,1382447.000000
2021-09-08,2021-09-08,QQQ,CTSH,COGNIZANT TECH SOLUTIONS-A,0.002727,532049837.440000,192446102,US1924461023,BBG000BBDV81,2257019,6940384.000000
2021-09-08,2021-09-08,QQQ,DLTR,DOLLAR TREE INC,0.001457,284146705.830000,256746108,US2567461080,BBG000BSC0K9,2272476,3052387.000000
2021-09-08,2021-09-08,QQQ,DOCU,DocuSign Inc.,0.003696,721071063.120000,256163106,US2561631068,BBG000N7KJX8,BFYT7B7,2560258.000000
2021-09-08,2021-09-08,QQQ,DXCM,DEXCOM INC,0.003591,700613413.500000,252131107,US2521311074,BBG000QTF8K1,B0796X4,1272570.000000
2021-09-08,2021-09-08,QQQ,EA,ELECTRONIC ARTS INC,0.002782,542703079.600000,285512109,US2855121099,BBG000BP0KQ8,2310194,3766156.000000
2021-09-08,2021-09-08,QQQ,EBAY,EBAY INC,0.003397,662782523.930000,278642103,US2786421030,BBG000C43RR5,2293819,8965001.000000
2021-09-08,2021-09-08,QQQ,EXC,EXELON CORP,0.003320,647581204.040000,30161N101,US30161N1019,BBG000J6XT05,2670519,12859039.000000
2021-09-08,2021-09-08,QQQ,FAST,FASTENAL CO,0.002088,407311571.280000,311900104,US3119001044,BBG000BJ8YN7,2332262,7559606.000000
2021-09-08,2021-09-08,QQQ,FB,Facebook Inc.,0.040103,7823366691.560000,30303M102,US30303M1027,BBG000MM2P62,B7TL820,20720308.000000
2021-09-08,2021-09-08,QQQ,FISV,FISERV INC,0.005262,1026587016.000000,337738108,US3377381088,BBG000BJKPG0,2342034,8774248.000000
2021-09-08,2021-09-08,QQQ,FOX,FOX CORP- CLASS B,0.000569,110983572.000000,35137L204,US35137L2043,BBG00JHNKJY8,BJJMGY5,3332840.000000
2021-09-08,2021-09-08,QQQ,FOXA,FOX CORP - CLASS A,0.000793,154711642.960000,35137L105,US35137L1052,BBG00JHNJW99,BJJMGL2,4302326.000000
